site_numeral	site_original	plat	Plot	Species	Cover
1	S01	mg	2	Haplophyllum dauricum	0.5
1	S01	mg	3	Unk	0.5
1	S01	mg	3	Artemisia adamsii	0.5
1	S01	mg	2	Potentilla bifurca	2
1	S01	mg	2	Dontestemon integrifolium	3
1	S01	mg	1	Haplophyllum dauricum	5
1	S01	mg	1	Leymus chinensis	5
1	S01	mg	2	Allium anisopodium	5
1	S01	mg	3	Leymus chinensis	5
1	S01	mg	3	Allium anisopodium	5
1	S01	mg	1	Cymbaria daurica	8
1	S01	mg	2	Stipa krylovii	8
1	S01	mg	1	Carex duriuscula 	10
1	S01	mg	1	Stipa krylovii	10
1	S01	mg	2	Leymus chinensis	10
1	S01	mg	2	Carex duriuscula 	10
1	S01	mg	3	Artemisia frigida	10
1	S01	mg	2	Artemisia frigida	15
1	S01	mg	2	Festuca lenensis	15
1	S01	mg	3	Festuca lenensis	15
1	S01	mg	3	Carex duriuscula 	20
1	S01	mg	3	Heteropappus hispidus	20
1	S01	mg	1	Artemisia frigida	25
2	S02	mg	1	Potentilla bifurca	0.5
2	S02	mg	1	Oxytropis sp.	0.5
2	S02	mg	2	Allium anisopodium	0.5
2	S02	mg	2	Caragana stenophylla	1
2	S02	mg	3	Oxytropis sp.	1
2	S02	mg	3	Allium anisopodium	3
2	S02	mg	1	Leymus chinensis	5
2	S02	mg	1	Allium anisopodium	5
2	S02	mg	1	Allium polyrhizum	5
2	S02	mg	3	Leymus chinensis	5
2	S02	mg	3	Cleistogenes squarrosa	5
2	S02	mg	3	Carex duriuscula 	5
2	S02	mg	2	Artemisia frigida	15
2	S02	mg	2	Leymus chinensis	15
2	S02	mg	3	Artemisia frigida	15
2	S02	mg	1	Artemisia frigida	25
3	S03	mg	2	Salsola collina	3
3	S03	mg	1	Salsola collina	5
3	S03	mg	1	Potentilla bifurca	5
3	S03	mg	2	Chenopodium acuminatum	5
3	S03	mg	3	Carex duriuscula 	5
3	S03	mg	1	Heteropappus hispidus	8
3	S03	mg	1	Chenopodium acuminatum	10
3	S03	mg	1	Carex duriuscula 	10
3	S03	mg	1	Caragana stenophylla	15
3	S03	mg	2	Convolvulus armani	15
3	S03	mg	3	Chenopodium acuminatum	15
3	S03	mg	3	Allium mongolicum	20
3	S03	mg	2	Allium mongolicum	25
3	S03	mg	3	Salsola collina	35
4	S04	mg	1	Salsola collina	0.5
4	S04	mg	1	Bascia dasyphylla	0.5
4	S04	mg	2	Chenopodium acuminatum	1
4	S04	mg	1	Chenopodium acuminatum	2
4	S04	mg	2	Allium mongolicum	2
4	S04	mg	1	Agropyron cristatum	3
4	S04	mg	2	Bascia dasyphylla	3
4	S04	mg	1	Allium mongolicum	5
4	S04	mg	2	Carex pediformis	5
4	S04	mg	2	Artemisia adamsii	5
4	S04	mg	3	Bascia dasyphylla	5
4	S04	mg	3	Artemisia adamsii	5
4	S04	mg	3	Stipa glareosa	5
4	S04	mg	1	Allium polyrhizum	8
4	S04	mg	2	Allium polyrhizum	8
4	S04	mg	2	Salsola collina	10
4	S04	mg	3	Allium mongolicum	10
4	S04	mg	3	Chenopodium acuminatum	10
4	S04	mg	1	Artemisia adamsii	15
4	S04	mg	1	Carex pediformis	15
4	S04	mg	2	Stipa glareosa	15
4	S04	mg	3	Salsola collina	15
4	S04	mg	3	Carex pediformis	20
5	S05	mg	2	Bascia dasyphylla	1
5	S05	mg	3	Bascia dasyphylla	1
5	S05	mg	3	Artimisia xeriphytica	1
5	S05	mg	1	Salsola passerina	2
5	S05	mg	1	Artimisia xeriphytica	2
5	S05	mg	2	Artimisia xeriphytica	2
5	S05	mg	2	Ajania trifida	2
5	S05	mg	3	Salsola passerina	2
5	S05	mg	1	Allium polyrhizum	3
5	S05	mg	1	Artemisia commutata	3
5	S05	mg	2	Allium polyrhizum	3
5	S05	mg	3	Ajania trifida	3
5	S05	mg	1	Anabasis brevifolia	5
5	S05	mg	1	Stipa glareosa	5
5	S05	mg	2	Anabasis brevifolia	5
5	S05	mg	3	Anabasis brevifolia	5
5	S05	mg	3	Allium polyrhizum	8
5	S05	mg	3	Artemisia commutata	8
5	S05	mg	2	Artemisia commutata	15
6	S06	mg	1	Bascia dasyphylla	0.5
6	S06	mg	2	SP.3	1
6	S06	mg	3	Ptilotrichum canenscens	1
6	S06	mg	3	Salsola collina	4
6	S06	mg	1	Stipa gobica	5
6	S06	mg	1	Salsola collina	5
6	S06	mg	2	Salsola collina	5
6	S06	mg	1	Achnatherum splendens	10
6	S06	mg	2	Artemisia adamsii	23
6	S06	mg	1	Artemisia adamsii	25
6	S06	mg	3	Artemisia adamsii	25
6	S06	mg	3	Stipa gobica	30
7	S07	mg	2	Euphorbia sp.	0.5
7	S07	mg	3	Bascia dasyphylla	0.5
