ID,Category,Lat ,Long,year,month,day,land cover,,8 day modGPP (kgm2),8 day mod GPP (gm2),16 day 250m EVI ,16 day NDVI,daily albedo BSA,daily albedo WSA
1,MG,47.481050,106.798170,2016,7,4,10,Grasslands,0.014000,14.000,0.238299996,0.422199994,0.093,0.111
2,MG,46.745550,106.584280,2016,7,4,10,Grasslands,0.006500,6.500,0.135600001,0.194299996,NA,NA
3,MG,46.036370,106.360210,2016,7,5,10,Grasslands,0.0066,6.600,0.132100001,0.206399992,0.198,0.211
4,MG,45.524720,105.785760,2016,7,5,10,Grasslands,0.011399999,11.400,0.164999992,0.228999987,0.187,0.202
5,MG,44.810200,105.470250,2016,7,5,10,Grasslands,NA,NA,0.092500001,0.127700001,0.244,0.284
6,MG,43.947860,104.951900,2016,7,5,10,Grasslands,NA,NA,0.087799996,0.152500004,0.149,0.164
7,MG,43.684810,104.645290,2016,7,6,10,Grasslands,NA,NA,0.078699999,0.121999994,0.180,0.192
8,MG,43.498280,104.039940,2016,7,6,7,Open shrublands,0.0175,17.500,0.233399987,0.449399978,0.122,0.137
9,MG,43.775280,104.855360,2016,7,6,10,Grasslands,NA,NA,0.0986,0.162299991,0.147,0.143
10,MG,43.721500,105.136990,2016,7,6,7,Open shrublands,NA,NA,0.090099998,0.139699996,0.162,0.164
11,MG,43.714340,105.368860,2016,7,7,7,Open shrublands,NA,NA,0.123299994,0.206599995,0.170,0.181
12,MG,43.727930,105.547380,2016,7,7,16,Barren,NA,NA,0.075199999,0.133399993,0.161,0.179
13,MG,43.185710,106.408980,2016,7,7,16,Barren,NA,NA,0.087200001,0.148499995,0.137,0.166
14,MG,43.140740,107.051610,2016,7,8,10,Barren,NA,NA,0.100899994,0.139899999,0.205,0.219
15,MG,43.203650,107.122700,2016,7,8,16,Barren,NA,NA,0.163399994,0.198299989,0.226,0.266
16,MG,43.362950,106.906530,2016,7,8,16,Barren,NA,NA,0.078999996,0.127299994,0.177,0.185
17,MG,44.017940,106.857720,2016,7,8,16,Barren,NA,NA,0.075399995,0.107799999,0.208,0.225
18,MG,44.360130,108.135770,2016,7,8,16,Barren,NA,NA,0.108999997,0.148000002,0.216,0.230
19,MG,44.472220,108.302730,2016,7,9,16,Barren,NA,NA,0.098200001,0.146499991,0.222,0.241
20,MG,44.653030,108.729820,2016,7,9,16,Barren,NA,NA,0.093599997,0.1153,0.248,0.269
21,MG,44.694800,109.077890,2016,7,9,16,Barren,NA,NA,0.099699996,0.1514,0.169,0.184
22,MG,45.874430,109.249510,2016,7,9,16,Barren,0.0044,4.400,0.0792,0.119999997,0.175,0.190
23,IM,39.795000,111.052000,2016,6,27,16,Barren,0.019399999,19.400,0.201299995,0.35769999,0.134,0.147
24,IM,39.852400,109.763000,2016,6,28,16,Barren,0.015199999,15.200,0.080699995,0.126100004,0.185,0.202
25,IM,39.865200,109.219000,2016,6,28,10,Grasslands,0.015899999,15.900,0.177699998,0.2773,0.170,0.186
26,IM,39.885300,108.895000,2016,6,28,16,Barren,0.0138,13.800,0.174999997,0.270599991,0.174,0.189
27,IM,39.743600,108.630000,2016,6,28,16,Barren,0.010199999,10.200,0.126900002,0.196699992,0.173,0.192
28,IM,39.148000,107.930000,2016,6,29,10,Grasslands,0.0107,10.700,0.125799999,0.206799999,0.147,0.170
29,IM,39.224100,107.244000,2016,6,29,10,Grasslands,0.0099,9.900,0.175399989,0.245299995,0.176,0.200
30,IM,39.352600,107.117000,2016,6,29,10,Grasslands,0.0056,5.600,0.0814,0.121699996,0.174,0.197
31,IM,38.370300,105.795000,2016,6,29,16,Barren,0.0065,6.500,0.121099994,0.1743,0.162,0.171
32,IM,38.934200,105.788000,2016,6,30,16,Barren,NA,NA,0.118699998,0.179199994,0.201,0.215
33,IM,38.999300,105.860000,2016,6,30,16,Barren,0.0078,7.800,0.140000001,0.189300001,0.192,0.210
34,IM,39.961700,106.755000,2016,6,30,10,Grasslands,NA,NA,0.062099997,0.082199998,0.217,0.229
35,IM,40.084800,106.819000,2016,6,30,16,Barren,NA,NA,0.085599996,0.1184,0.232,0.240
,,,,,,,,,,,,,,
