Year,Original,Fitted
"1,984",106.251,65.046
"1,987",96.782,77.919
"1,988",89.783,82.209
"1,989",97.721,86.5
"1,991",91.754,95.081
"1,992",114.691,99.372
"1,993",101.446,103.663
"1,994",89.427,107.954
"1,995",88.321,112.244
"1,996",95.375,116.535
"1,997",81.963,120.826
"1,998",91.987,125.117
"1,999",83.964,129.407
"2,000",119.749,133.698
"2,001",130.396,137.989
"2,002",117.691,142.279
"2,003",159.103,146.57
"2,004",174.362,150.861
"2,005",177.392,155.152
"2,006",202.135,159.442
"2,007",212.349,163.733
"2,008",198.938,168.024
"2,009",130.358,172.315
"2,010",226.652,211.137
"2,011",256.618,249.959
"2,012",239.519,288.781
"2,013",357.343,327.604
"2,014",313.427,320.04
"2,015",295.78,312.476
"2,016",276.899,304.913
"2,017",312.063,297.349
"2,018",302.824,289.786
