Year,Original,Fitted
"1,984",120.791,108.777
"1,987",101.838,106.074
"1,988",99.325,105.173
"1,989",102.507,104.272
"1,991",94.739,102.471
"1,992",108.485,101.57
"1,993",102.717,100.669
"1,994",101.136,99.768
"1,995",99.627,98.867
"1,996",93.263,97.966
"1,997",95.524,97.065
"1,998",92.023,96.164
"1,999",89.169,95.263
"2,000",90.621,94.362
"2,001",105.014,93.461
"2,002",97.703,92.56
"2,003",134.959,98.036
"2,004",119.035,103.512
"2,005",101.539,108.988
"2,006",104.063,114.464
"2,007",105.148,119.939
"2,008",131.292,125.415
"2,009",130.345,130.891
"2,010",151.499,136.367
"2,011",175.121,141.843
"2,012",158.741,147.318
"2,013",146.998,152.794
"2,014",146.731,158.27
"2,015",151.131,163.746
"2,016",159.931,169.222
"2,017",174.332,195.813
"2,018",233.146,222.405
