Year,Original,Fitted
"1,984",157.76,147.725
"1,986",116.056,152.717
"1,987",158.278,155.213
"1,988",159.928,157.709
"1,989",177.284,160.205
"1,990",127.56,162.701
"1,991",155.848,165.197
"1,992",160.061,167.693
"1,993",177.006,170.19
"1,994",171.785,172.686
"1,995",156.146,175.182
"1,996",176.858,177.678
"1,997",197.007,180.174
"1,998",193.838,182.67
"1,999",167.585,185.166
"2,000",190.476,187.662
"2,001",199.281,190.158
"2,002",167.577,192.654
"2,003",185.727,195.15
"2,004",179.701,197.647
"2,005",239.014,200.143
"2,006",229.852,202.639
"2,007",192.094,205.135
"2,008",193.861,207.631
"2,009",187.687,210.127
"2,010",239.089,212.623
"2,011",256.322,215.119
"2,012",264.38,217.615
"2,013",232.137,220.111
"2,014",198.746,222.607
"2,015",203.496,225.104
"2,016",190.08,227.6
"2,017",211.628,230.096
"2,018",249.721,232.592
