Year,Original,Fitted
"1,984",146.626,171.109
"1,986",163.301,179.246
"1,987",158.681,183.315
"1,988",173.77,187.384
"1,989",223.328,191.453
"1,990",169.614,195.522
"1,991",191.229,199.591
"1,992",225.702,203.659
"1,993",220.281,207.728
"1,994",225.072,211.797
"1,995",242.646,215.866
"1,996",237.252,219.935
"1,997",266.113,224.004
"1,998",228.874,228.072
"1,999",266.639,232.141
"2,000",224.102,236.21
"2,001",228.872,240.279
"2,002",233.915,244.348
"2,003",350.583,248.417
"2,004",276.782,252.486
"2,005",292.194,256.554
"2,006",246.136,260.623
"2,007",197.71,264.692
"2,008",221.58,268.761
"2,009",227.068,272.83
"2,010",239.065,276.899
"2,011",228.803,280.967
"2,012",292.683,285.036
"2,013",304.015,289.105
"2,014",287.473,293.174
"2,015",300.688,297.243
"2,016",293.133,301.312
"2,017",344.041,305.381
"2,018",317.279,309.449
