Year,Original,Fitted
"1,984",518.325,408.24
"1,985",473.03,414.297
"1,986",281.291,420.354
"1,987",408.048,426.41
"1,989",518.141,438.524
"1,990",597.662,444.581
"1,991",508.176,450.638
"1,992",432.672,456.695
"1,994",612.433,468.809
"1,995",285.439,474.866
"1,996",718.195,480.923
"1,997",318.819,486.979
"1,998",674.152,493.036
"1,999",663.158,499.093
"2,000",254.51,505.15
"2,001",529.277,511.207
"2,002",565.936,517.264
"2,003",465.704,523.321
"2,004",641.146,529.378
"2,005",388.094,535.435
"2,006",406.993,541.492
"2,007",532.145,547.549
"2,008",498.42,553.605
"2,009",431.771,559.662
"2,010",544.814,565.719
"2,011",565.217,571.776
"2,012",653.601,577.833
"2,013",618.951,583.89
"2,014",674.65,589.947
"2,015",637.992,596.004
"2,016",586.308,602.061
"2,017",628.038,608.118
"2,018",747.895,614.174
