Year,Original,Fitted
"1,984",258.933,161.508
"1,987",178.903,198.422
"1,988",182.937,210.727
"1,989",260.081,223.031
"1,990",181.544,235.336
"1,991",258.03,247.641
"1,992",231.833,259.946
"1,993",310.331,272.25
"1,994",296.084,284.555
"1,995",272.426,296.86
"1,996",229.373,309.164
"1,997",325.494,321.469
"1,998",354.99,333.774
"1,999",389.292,346.079
"2,000",291.908,358.383
"2,001",440.216,370.688
"2,002",297.379,382.993
"2,003",445.211,395.297
"2,004",549.884,407.602
"2,005",445.879,419.907
"2,006",306.825,432.212
"2,007",431.432,444.352
"2,008",376.437,456.492
"2,009",288.612,468.633
"2,010",488.799,480.773
"2,011",463.363,492.913
"2,012",545.515,505.054
"2,013",564.824,517.194
"2,014",422.193,529.334
"2,015",551.258,541.475
"2,016",560.915,553.615
"2,017",599.517,565.755
"2,018",555.2,577.896
