Year,Original,Fitted
"1,984",296.685,299.78
"1,986",368.9,331.904
"1,987",223.172,347.965
"1,988",202.44,364.027
"1,989",560.261,380.089
"1,990",212.112,396.15
"1,991",526.316,412.212
"1,992",540.459,428.273
"1,993",668.278,444.335
"1,994",545.163,460.397
"1,995",434.151,476.458
"1,996",509.387,492.52
"1,997",493.896,508.582
"1,998",667.42,524.643
"1,999",532.882,540.705
"2,000",497.337,556.766
"2,001",621.723,572.828
"2,002",604.038,588.89
"2,003",725.211,604.951
"2,004",721.233,621.013
"2,005",664.587,637.075
"2,006",576.715,653.136
"2,007",706.277,669.198
"2,008",771.429,685.259
"2,009",608.874,701.321
"2,010",766.052,717.383
"2,011",671.018,733.444
"2,012",757.576,749.506
"2,013",795.944,765.568
"2,014",775.945,781.629
"2,015",841.639,797.691
"2,016",734.291,813.752
"2,017",787.494,829.814
"2,018",551.252,845.876
