Year,Original,Fitted
"1,984",318.632,365.294
"1,986",354.576,366.675
"1,987",353.369,367.365
"1,988",331.984,368.055
"1,989",443.001,368.745
"1,990",221.337,369.436
"1,991",365.571,370.126
"1,992",365.215,370.816
"1,993",430.312,371.506
"1,994",394.774,372.196
"1,995",475.077,372.887
"1,996",465.951,373.577
"1,997",358.95,374.267
"1,998",413.497,374.957
"1,999",455.233,375.648
"2,000",262.657,376.338
"2,001",314.286,377.028
"2,002",352.748,377.718
"2,003",381.372,378.408
"2,004",500.744,379.099
"2,005",429.848,379.789
"2,006",401.982,380.479
"2,007",357.554,381.169
"2,008",307.32,381.86
"2,009",300,382.55
"2,010",420.014,403.862
"2,011",420.28,425.174
"2,012",576.235,446.487
"2,013",480.967,467.799
"2,014",410.594,489.111
"2,015",505.007,510.424
"2,016",435.939,531.736
"2,017",613.945,553.048
"2,018",592.161,574.36
