Year,Original,Fitted
"1,984",157.684,152.624
"1,987",173.919,167.167
"1,988",169.082,172.015
"1,989",198.438,176.863
"1,990",166.971,181.71
"1,991",179.135,186.558
"1,992",187.653,191.406
"1,993",217.799,196.253
"1,994",190.246,201.101
"1,995",183.695,205.949
"1,996",217.775,210.797
"1,997",244.8,215.644
"1,998",212.285,220.492
"1,999",238.095,225.34
"2,000",236.71,230.187
"2,001",255.196,235.035
"2,002",222.243,239.883
"2,003",246.15,244.73
"2,004",300.628,249.578
"2,005",288.083,254.426
"2,006",270.009,259.273
"2,007",240.389,264.121
"2,008",262.93,268.969
"2,009",218.763,273.816
"2,010",317.784,324.016
"2,011",373.382,374.215
"2,012",427.046,424.414
"2,013",412.938,401.984
"2,014",349.809,379.554
"2,015",389.89,357.124
"2,016",322.253,334.693
"2,017",432.829,354.147
"2,018",334.26,373.601
