Year,Original,Fitted
"1,984",146.893,114.993
"1,986",151.715,125.15
"1,987",145.782,130.228
"1,988",146.921,135.306
"1,989",152.305,140.384
"1,990",139.039,145.463
"1,991",144.139,150.541
"1,992",167.352,155.619
"1,993",161.318,160.698
"1,994",141.918,165.776
"1,995",147.98,170.854
"1,996",145.348,175.932
"1,997",189.983,181.011
"1,998",175.563,186.089
"1,999",154.554,191.167
"2,000",168.657,196.245
"2,001",193.182,201.324
"2,002",187.551,206.402
"2,003",196.923,211.48
"2,004",218.755,216.558
"2,005",248.656,221.637
"2,006",225.868,226.715
"2,007",234.468,231.793
"2,008",213.235,236.872
"2,009",208.054,241.95
"2,010",248.919,247.028
"2,011",280.386,252.106
"2,012",307.551,257.185
"2,013",318.615,262.263
"2,014",244.481,267.341
"2,015",305.759,286.366
"2,016",295.693,305.39
"2,017",382.809,323.499
"2,018",311.953,341.608
