Year,Original,Fitted
"1,984",213.533,128.208
"1,987",167.188,149.993
"1,988",165.73,157.255
"1,989",211.303,164.517
"1,990",150.112,171.778
"1,991",190.705,179.04
"1,992",192.152,186.302
"1,993",202.647,193.563
"1,994",183.336,200.825
"1,995",174.917,208.087
"1,996",161.08,215.348
"1,997",181.491,222.61
"1,998",179.707,229.872
"1,999",204.482,237.133
"2,000",183.171,244.395
"2,001",231.573,251.657
"2,002",202.515,258.919
"2,003",317.829,266.18
"2,004",314.275,273.442
"2,005",300.599,280.704
"2,006",285.35,287.965
"2,007",292.032,295.227
"2,008",287.519,302.489
"2,009",292.944,309.75
"2,010",330.694,317.012
"2,011",360.624,324.274
"2,012",371.702,331.535
"2,013",388.768,338.797
"2,014",355.624,346.059
"2,015",349.049,353.32
"2,016",327.379,360.582
"2,017",393.53,367.844
"2,018",366.229,375.105
